,Image_Link,Actor Name,Twitter Handle
140,https://pbs.twimg.com/profile_images/1129750432014917633/vA9Tw7BY_400x400.jpg,mandira bedi,@mandybedi
141,https://pbs.twimg.com/profile_images/1141902958038155265/QMY692Lc_400x400.jpg,Koel Mallick,@YourKoel
142,https://pbs.twimg.com/profile_images/1226602434044129280/F10BRUZ9_400x400.jpg,raima sen,@raimasen
143,https://pbs.twimg.com/profile_images/1243683246400884736/IzmWD63-_400x400.jpg,Nikhil Siddhartha,@actor_Nikhil
144,https://pbs.twimg.com/profile_images/1246325077399842816/b3lZL7ex_400x400.jpg,𝑽𝒂𝒓𝒂𝒍𝒂𝒙𝒎𝒊 𝑺𝒂𝒓𝒂𝒕𝒉𝒌𝒖𝒎𝒂𝒓,@varusarath
145,https://pbs.twimg.com/profile_images/1172775230088994817/DAktHvv4_400x400.jpg,Vishal,@VishalKOfficial
146,https://pbs.twimg.com/profile_images/1228668319734976513/YkbNAu-1_400x400.jpg,Prosenjit Chatterjee,@prosenjitbumba
147,https://pbs.twimg.com/profile_images/1063961789258297344/pEQbJ8Fb_400x400.jpg,Priyamani Raj,@priyamani6
148,https://pbs.twimg.com/profile_images/1157916573497040896/k5Sl1DoX_400x400.jpg,Manjima Mohan,@mohan_manjima
149,https://pbs.twimg.com/profile_images/977218088662745088/f-GpMOPN_400x400.jpg,Adah Sharma,@adah_sharma
150,https://pbs.twimg.com/profile_images/1181925348432203777/U0L9AXBf_400x400.jpg,Kiara Advani,@advani_kiara
151,https://pbs.twimg.com/profile_images/799854829883428865/08-iS9c6_400x400.jpg,Sumanth,@iSumanth
152,https://pbs.twimg.com/profile_images/1039156898363322368/iPWhB5-g_400x400.jpg,sonu sood,@SonuSood
153,https://pbs.twimg.com/profile_images/1168884982179233792/A-kypAH5_400x400.jpg,Jeet,@jeet30
154,https://pbs.twimg.com/profile_images/1207939947337932800/jiCcUcoE_400x400.jpg,Vedhika,@Vedhika4u
155,https://pbs.twimg.com/profile_images/1234759443193180161/5qmltfjB_400x400.jpg,Sahil Shah 🇮🇳,@SahilBulla
156,https://pbs.twimg.com/profile_images/784932795378339840/yaVqiRkG_400x400.jpg,Chitrangda Singh,@IChitrangda
157,https://pbs.twimg.com/profile_images/1250647060396806145/mzJ-ctGV_400x400.jpg,manoj bajpayee,@BajpayeeManoj
158,https://pbs.twimg.com/profile_images/1217684398822182913/avvfUsSa_400x400.jpg,Mammootty,@mammukka
159,https://pbs.twimg.com/profile_images/1249579730904526849/JS7VK2_P_400x400.jpg,Aditi Rao Hydari,@aditiraohydari
160,https://pbs.twimg.com/profile_images/1054582857287364614/mUcwAe5S_400x400.jpg,Hema Malini,@dreamgirlhema
161,https://pbs.twimg.com/profile_images/1248913857705177088/-p60S3_-_400x400.jpg,Karan Tacker,@karantacker
162,https://pbs.twimg.com/profile_images/1231068460613918720/mWTHmLFq_400x400.jpg,Abir Chatterjee,@itsmeabir
163,https://pbs.twimg.com/profile_images/806446037204434944/znbO34QL_400x400.jpg,Karan Wahi,@karan009wahi
164,https://pbs.twimg.com/profile_images/1159081128617058305/UB0y3NDh_400x400.jpg,Zakir Khan,@Zakirism
165,https://pbs.twimg.com/profile_images/1229068101360246784/FwB3zqdT_400x400.jpg,Kareena Kapoor Khan,@KareenaMania
166,https://pbs.twimg.com/profile_images/1000803064456998912/vRoLpHRZ_400x400.jpg,Jimmy sheirgill,@jimmysheirgill
167,https://pbs.twimg.com/profile_images/1242458101032288258/Gw205ru3_400x400.jpg,subhashree ganguly,@subhashreesotwe
168,https://pbs.twimg.com/profile_images/1234046823355973633/TXBxeYyh_400x400.jpg,Dev,@idevadhikari
